sample_id,sentence,human_label,Zhang_label,Luo_label,Chen_label,Jiang_label,Li_label,majority_label,agreement_level,claude_consensus,claude_agreement_count,deepseek_consensus,deepseek_agreement_count,gemini_consensus,gemini_agreement_count,gpt_consensus,gpt_agreement_count,grok_consensus,grok_agreement_count,claude_p2,deepseek_p2,gemini_p2,gpt_p2,grok_p2,claude_p3,deepseek_p3,gemini_p3,gpt_p3,grok_p3,claude_p4,deepseek_p4,gemini_p4,gpt_p4,grok_p4,claude_p6,deepseek_p6,gemini_p6,gpt_p6,grok_p6,sample_group,llm_majority_label,explicit_marker_count,please,gratitude,apology,modal_verbs,hedges,deference,positive_words
108,"I don't want to sound rude and don't mean any offence, but do you have any experience with coding normal physics (i.e. Rigid body physics)?",Polite,Polite,Impolite,Neutral,Polite,Polite,Polite,3,Impolite,3,Polite,3,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Impolite,Neutral,Polite,Polite,Polite,Impolite,Polite,Polite,Polite,Polite,Impolite,Polite,Polite,Polite,Polite,G4b_Low_Markers_Polite,Polite,0,0,0,0,0,0,0,0
109,"Hi Leah, is it working again? I had some difficulties with WP in general a couple of days ago and was wondering if your issues had the same origin?",Polite,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,4,Polite,4,Polite,3,Polite,3,Polite,Polite,Polite,Neutral,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G4b_Low_Markers_Polite,Polite,0,0,0,0,0,0,0,0
110,I tried a  if (ajaxBanner_timeout == 0) {... but that didn't work. Where do I need to define  ajaxBanner_timeout?,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
111,@Mark Trapp: Not constructive? Really?,Polite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,4,Impolite,4,Impolite,3,Impolite,4,Impolite,4,Impolite,4,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,G4b_Low_Markers_Polite,Impolite,0,0,0,0,0,0,0,0
112,"What do you mean?  The best OS to do Arduino development on, or the best OS to run on your Arduino (a la FreeRTOS)?",Polite,Neutral,Impolite,Neutral,Neutral,Impolite,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
113,"Hello, I noticed you recently did a lot of work on the ''<url>'' page. I was wondering if you know of the origin of the word """"Nassarius"""" - its etymology/ what is it named after?",Polite,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G4b_Low_Markers_Polite,Polite,0,0,0,0,0,0,0,0
114,@Peter Shor: Of course.  Doesn't everyone?,Polite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,4,Neutral,3,Neutral,3,Neutral,4,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Impolite,Impolite,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
115,"I see you ended the AfD on <url> and removed the tag.  Will you remove it on the other two articles that were proposed along with it, <url> and <url>?",Polite,Polite,Impolite,Polite,Impolite,Neutral,Polite,2,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
116,I'm expriencing the same thing. Did you resolve this?,Polite,Polite,Neutral,Polite,Neutral,Neutral,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
117,By the way: Do you know how to remove the spaces created below the project banner when others are placed below it? And how to make capitalisation of the rating not matter?,Polite,Neutral,Neutral,Polite,Impolite,Neutral,Neutral,3,Neutral,2,Neutral,4,Neutral,4,Polite,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
118,Does it occur only when they are plugged into the same circuit as the lighting?  Or any time they are in close proximity to the lighting?,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
